Subject,Description,Start Date,End Date,All Day Event
"🚴  15 miles","Hard Ride (as fast as possible – Time yourself) 15 miles",05/31/2018,05/31/2018,True
"😴  Rest","REST DAY",06/01/2018,06/01/2018,True
"🚴  26 miles","Long Slow Ride 26 miles",06/02/2018,06/02/2018,True
"🚴  12 miles","Moderate Ride with Hills 12 miles",06/03/2018,06/03/2018,True
"😴  Rest","REST DAY",06/04/2018,06/04/2018,True
"🚴  22 miles","Slow Ride 22 miles",06/05/2018,06/05/2018,True
"🏋  Cross-training","Cross-training",06/06/2018,06/06/2018,True
"🚴  12 miles","Moderate Ride with Intervals 12 miles",06/07/2018,06/07/2018,True
"😴  Rest","REST DAY (START OF RECOVERY WEEK) Relax, enjoy sleep and eat more!",06/08/2018,06/08/2018,True
"🏋  Cross-training","Cross-training or Rest Day",06/09/2018,06/09/2018,True
"🚴  8 miles","Moderate Ride with easy gears and no hills. RELAX! 8 miles",06/10/2018,06/10/2018,True
"😴  Rest","REST DAY",06/11/2018,06/11/2018,True
"🚴  15 miles","Very Slow Ride 15 miles",06/12/2018,06/12/2018,True
"😴  Rest","REST DAY",06/13/2018,06/13/2018,True
"🚴  10 miles","Cross-training or Moderate Ride. RELAX! 10 miles",06/14/2018,06/14/2018,True
"😴  Rest","REST DAY Visit local bike shop for nutrition supplies.",06/15/2018,06/15/2018,True
"🚴  30 miles","Long Slow Ride. Experiment with eating and drinking during each long ride. 30 miles",06/16/2018,06/16/2018,True
"🚴  15 miles","Hard Ride with Hills 15 miles",06/17/2018,06/17/2018,True
"😴  Rest","REST DAY",06/18/2018,06/18/2018,True
"🚴  25 miles","Long Slow Ride 25 miles",06/19/2018,06/19/2018,True
"🏋  Cross-training","Cross-training",06/20/2018,06/20/2018,True
"🚴  15 miles","Moderate Ride with Intervals. Alternate 1 mile easy, 1 mile hard. 15 miles",06/21/2018,06/21/2018,True
"😴  Rest","REST DAY",06/22/2018,06/22/2018,True
"🚴  35 miles","Long Slow Ride 35 miles",06/23/2018,06/23/2018,True
"🚴  20 miles","Hard Ride with Hills or Intervals 20 miles",06/24/2018,06/24/2018,True
"😴  Rest","REST DAY",06/25/2018,06/25/2018,True
"🚴  30 miles","Long Slow Ride 30 miles",06/26/2018,06/26/2018,True
"🏋  Cross-training","Cross-training",06/27/2018,06/27/2018,True
"🚴  15 miles","Hard Ride (as fast as possible – Compare time to May 28th) 15 miles",06/28/2018,06/28/2018,True
"😴  Rest","REST DAY Visit local bike show for tune-up and supplies.",06/29/2018,06/29/2018,True
"🚴  40 miles","Long Slow Ride. Eat and drink frequently during and after the next few rides. Practice your nutrition plan. 40 miles",06/30/2018,06/30/2018,True
"🚴  25 miles","Hard Ride with Hills 25 miles",07/01/2018,07/01/2018,True
"😴  Rest","REST DAY",07/02/2018,07/02/2018,True
"🚴  30 miles","Long Slow Ride 30 miles",07/03/2018,07/03/2018,True
"🏋  Cross-training","Cross-training",07/04/2018,07/04/2018,True
"🚴  20 miles","Moderate Ride with Hills or Intervals 20 miles",07/05/2018,07/05/2018,True
"😴  Rest","REST DAY",07/06/2018,07/06/2018,True
"🚴  45 miles","Long Slow Ride 45 miles",07/07/2018,07/07/2018,True
"🚴  20 miles","Hard Ride with Hills 20 miles",07/08/2018,07/08/2018,True
"😴  Rest","REST DAY (START TO TAPER for VeloSano) Sleep more, eat more! Relax!",07/09/2018,07/09/2018,True
"🚴  20 miles","Long Slow Ride or Cross-training 20 miles",07/10/2018,07/10/2018,True
"😴  Rest","REST DAY",07/11/2018,07/11/2018,True
"🚴  15 miles","Hard Ride (as fast as possible) 15 miles",07/12/2018,07/12/2018,True
"😴  Rest","REST DAY",07/13/2018,07/13/2018,True
"🚴  35 miles","Long Slow Ride, or shorter if the weather is hot! 35 miles",07/14/2018,07/14/2018,True
"🚴  12-15 miles","Moderate Ride (Don’t over-do it!) 12-15 miles",07/15/2018,07/15/2018,True
"😴  Rest","REST DAY",07/16/2018,07/16/2018,True
"🚴  20 miles","Slow Ride (even less if tired) 20 miles",07/17/2018,07/17/2018,True
"🏋  Cross-training","Gentle Cross-training or Rest Day",07/18/2018,07/18/2018,True
"😴  Rest","REST DAY (Preview the Course by car)",07/19/2018,07/19/2018,True
"🚴  5-10 miles","Easy Ride before you go to the VeloSano Kickoff Party! 5-10 miles",07/20/2018,07/20/2018,True
"🎉  VELOSANO RIDE AND EVENTS","VELOSANO RIDE AND EVENTS",07/21/2018,07/21/2018,True
"🎉  VELOSANO 2-DAY RIDE AND EVENTS","VELOSANO 2-DAY RIDE AND EVENTS",07/22/2018,07/22/2018,True
"🏋  Cross-training","Active recovery - Cross-training",07/23/2018,07/23/2018,True
"🚴  Any distance","Active recovery; Ride any distance",07/24/2018,07/24/2018,True
"😴  Rest","REST DAY",07/25/2018,07/25/2018,True
"🛍  Bike shop","Visit Local Bike shop sometime soon, say thanks for support",07/26/2018,07/26/2018,True
